"year","month","P","E","Q"
1998,8,265.5429639,136.406465772,99.9683870967742
1999,8,401.7420351,126.459238001,341.588709677419
2000,8,198.547806981,132.131212524,78.0135483870968
2001,8,286.3325194,134.673613214,203.861935483871
2002,8,609.62008178,126.519631926,278.806129032258
2003,8,442.74690442,127.850451311,141.51064516129
2004,8,456.4432772,117.874627555,236.853548387097
2005,8,319.07155883,125.951087255,330.875806451613
2006,8,279.7766996,128.227759372,89.8970967741935
2007,8,281.316182831,132.307356498,108.011612903226
2008,8,348.9957481,133.354858687,248.711290322581
2009,8,185.88380161,137.629702086,43.7748387096774
2010,8,270.79484762,137.681063161,158.166774193548
2011,8,328.9139263,133.091992791,269.103548387097
2012,8,379.091239872,127.287596389,216.794838709677
2013,8,593.6640186,127.462119846,789.449032258065
2014,8,240.62314833,138.701560729,170.466774193548
2015,8,272.086229144,136.403290367,76.8432258064516
1980,9,199.150379168,115.721419391,291.55
1981,9,134.89425348,115.505410327,17.1166666666667
1982,9,156.395309053,110.411398946,179.656666666667
1983,9,511.4738807,114.562824886,415.626666666667
1984,9,148.2580846,106.914817801,163.126666666667
1985,9,100.280634096,111.492780315,71.11
1986,9,79.100914864,117.542770944,30.2166666666667
1987,9,325.8815375,110.690621404,287.543
1988,9,72.797885558,122.702398865,52.4086666666667
1989,9,151.162317876,115.506294988,44.784
1990,9,390.9697335,107.279397181,440.323333333333
1991,9,36.187591585,111.930916813,94.0066666666667
1992,9,352.386215128,108.103028277,357.827666666667
1993,9,438.79787441,106.478069503,236.153666666667
1994,9,82.437362793,111.604531846,126.154333333333
1995,9,117.82404929,112.686763348,105.966666666667
1996,9,110.92239324,114.679075793,50.9063333333333
1997,9,194.27459588,111.998094172,163.81
1998,9,148.4777546,117.97214113,41.5883333333333
1999,9,506.0971377,107.30558978,488.272333333333
2000,9,87.248402092,107.928952943,62.1043333333333
2001,9,55.310283794,124.031257423,59.7236666666667
2002,9,241.46293901,108.923591637,270.257
2003,9,648.4101465,105.519120343,634.926666666667
2004,9,104.409220645,113.995230698,52.3373333333333
2005,9,240.814984612,111.350725031,166.303666666667
2006,9,61.59243299,117.788893268,55.156
2007,9,110.696664723,118.253060028,53.6123333333333
2008,9,115.10226471,117.277251044,49.4553333333333
2009,9,306.115587736,119.048429894,164.265333333333
2010,9,309.670648675,114.234219435,273.03
2011,9,297.75369726,112.719108249,325.235333333333
2012,9,126.38200281,114.516778078,96.2703333333333
2013,9,80.055974712,120.901574295,104.68
2014,9,139.178668809,115.856811783,69.3796666666667
2015,9,74.503632094,123.148364459,45.2906666666667
